artist,rank,song,year
Jimmy Smith,91,"""Walk on the Wild Side""",1962
King Curtis,92,Soul Twist,1962
Bobby Rydell,93,I'll Never Dance Again,1962
The Ikettes,94,I'm Blue (The Gong-Gong Song),1962
The Kingston Trio,95,Where Have All the Flowers Gone?,1962
Eddie Hodges,96,"""(Girls, Girls, Girls) Made to Love""",1962
Gene Pitney,97,Town Without Pity,1962
"Peter, Paul and Mary",98,If I Had a Hammer,1962
Ronnie &amp; the Hi-Lites,99,"""I Wish That We Were Married""",1962
The Beach Boys,100,Surfin' Safari,1962
The Beach Boys,1,Surfin' U.S.A.,1963
Skeeter Davis,2,The End of the World,1963
The Cascades,3,Rhythm of the Rain,1963
The Chiffons,4,He's So Fine,1963
Bobby Vinton,5,Blue Velvet,1963
Paul &amp; Paula,6,Hey Paula,1963
Little Stevie Wonder,7,Fingertips,1963
Andy Williams,8,Can't Get Used to Losing You,1963
The Angels,9,My Boyfriend's Back,1963
Kyu Sakamoto,10,Sukiyaki,1963
The Tymes,11,So Much in Love,1963
"Peter, Paul &amp; Mary",12,"Puff, the Magic Dragon",1963
"Peter, Paul &amp; Mary",13,Blowin' in the Wind,1963
The Surfaris,14,Wipe Out,1963
Al Martino,15,I Love You Because,1963
The Rebels,16,"""Wild Weekend""",1963
Bobby Darin,17,You're the Reason I'm Living,1963
The Four Seasons,18,Walk Like a Man,1963
Inez &amp; Charlie Foxx,19,Mockingbird,1963
Little Peggy March,20,I Will Follow Him,1963
The Chantays,21,Pipeline,1963
Jan &amp; Dean,22,Surf City,1963
Lesley Gore,23,It's My Party,1963
Eydie Gormé,24,Blame It on the Bossa Nova,1963
The Dovells,25,You Can't Sit Down,1963
Martha &amp; the Vandellas,26,Heat Wave,1963
Randy &amp; the Rainbows,27,Denise,1963
The Rooftop Singers,28,Walk Right In,1963
Jimmy Soul,29,If You Wanna Be Happy,1963
Trini Lopez,30,If I Had a Hammer,1963
The Essex,31,Easier Said Than Done,1963
Dion,32,Ruby Baby,1963
Ruby &amp; the Romantics,33,Our Day Will Come,1963
Barbara Lewis,34,Hello Stranger,1963
The Ronettes,35,Be My Baby,1963
The Orlons,36,"""South Street""",1963
Henry Mancini,37,Days of Wine and Roses,1963
Major Lance,38,"""The Monkey Time""",1963
The Four Seasons,39,Candy Girl,1963
Jimmy Gilmer and the Fireballs,40,Sugar Shack,1963
Bill Anderson,41,Still,1963
Bobby Vinton,42,Blue on Blue,1963
Garnet Mimms,43,Cry Baby,1963
Lou Christie,44,Two Faces Have I,1963
Ray Charles,45,Busted,1963
The Crystals,46,Da Doo Ron Ron,1963
The Shirelles,47,Foolish Little Girl,1963
Lonnie Mack,48,Memphis,1963
Roy Orbison,49,In Dreams,1963
Kai Winding,50,More,1963
Skeeter Davis,51,I Can't Stay Mad at You,1963
Brenda Lee,52,Losing You,1963
Roy Orbison,53,Mean Woman Blues,1963
Bill Pursell,54,Our Winter Love,1963
Tony Bennett,55,I Wanna Be Around,1963
The Miracles,56,You've Really Got a Hold on Me,1963
The Jaynetts,57,Sally Go 'Round the Roses,1963
Elvis Presley,58,(You're the) Devil in Disguise,1963
Nat King Cole,59,"""Those Lazy-Hazy-Crazy Days of Summer""",1963
Jackie Wilson,60,Baby Workout,1963
Marvin Gaye,61,Pride and Joy,1963
Nino Tempo &amp; April Stevens,62,Deep Purple,1963
Ned Miller,63,From a Jack to a King,1963
The Drifters,64,Up on the Roof,1963
Johnny Mathis,65,"""What Will My Mary Say""",1963
Jan Bradley,66,"""Mama Didn't Lie""",1963
Bobby Vee,67,The Night Has a Thousand Eyes,1963
The Cookies,68,Don't Say Nothin' Bad (About My Baby),1963
Johnny Cash,69,Ring of Fire,1963
Doris Troy,70,Just One Look,1963
Allan Sherman,71,"Hello Muddah, Hello Fadduh (A Letter from Camp)",1963
Lesley Gore,72,Judy's Turn to Cry,1963
Rolf Harris,73,"Tie Me Kangaroo Down, Sport",1963
Rick Nelson,74,Fools Rush In,1963
The Village Stompers,75,Washington Square,1963
Dion,76,Donna the Prima Donna,1963
Nat King Cole,77,"That Sunday, That Summer",1963
Sam Cooke,78,Another Saturday Night,1963
Al Martino,79,"""Painted, Tainted Rose""",1963
Steve Lawrence,80,Go Away Little Girl,1963
Ray Charles,81,Take These Chains from My Heart,1963
Sunny &amp; the Sunglows,82,Talk to Me,1963
Martha and the Vandellas,83,Come and Get These Memories,1963
Dee Dee Sharp,84,"""Do the Bird""",1963
The Impressions,85,It's All Right,1963
The Beach Boys,86,Shut Down,1963
The Chiffons,87,One Fine Day,1963
Del Shannon,88,Little Town Flirt,1963
Joe Harnell,89,Fly Me to the Moon,1963
The Kingston Trio,90,The Reverend Mr. Black,1963
The Dartells,91,"""Hot Pastrami""",1963
The Ran-Dells,92,Martian Hop,1963
The Tymes,93,Wonderful! Wonderful!,1963
George Hamilton IV,94,Abilene,1963
Little Johnny Taylor,95,Part Time Love,1963
Los Indios Tabajaras,96,Maria Elena,1963
Bobby Bare,97,Detroit City,1963
Chubby Checker,98,"""Twenty Miles""",1963
The New Christy Minstrels,99,"""Green, Green""",1963
Freddie Scott,100,Hey Girl,1963
The Beatles,1,I Want to Hold Your Hand,1964
The Beatles,2,She Loves You,1964
Louis Armstrong,3,"Hello, Dolly!",1964
Roy Orbison,4,"Oh, Pretty Woman",1964
The Beach Boys,5,I Get Around,1964
Dean Martin,6,Everybody Loves Somebody,1964
Mary Wells,7,My Guy,1964
Gale Garnett,8,We'll Sing in the Sunshine,1964
J. Frank Wilson &amp; the Cavaliers,9,Last Kiss,1964
The Supremes,10,Where Did Our Love Go,1964
Barbra Streisand,11,People,1964
Al Hirt,12,Java,1964
The Beatles,13,A Hard Day's Night,1964
The Beatles,14,Love Me Do,1964
Manfred Mann,15,Do Wah Diddy Diddy,1964
The Beatles,16,Please Please Me,1964
Martha and the Vandellas,17,Dancing in the Street,1964
Billy J. Kramer,18,Little Children,1964
The Ray Charles Singers,19,Love Me with All Your Heart (Cuando Calienta El Sol),1964
The Drifters,20,Under the Boardwalk,1964
The Dixie Cups,21,Chapel of Love,1964
Terry Stafford,22,Suspicion,1964
The Dave Clark Five,23,Glad All Over,1964
The Four Seasons,24,Rag Doll,1964
The Four Seasons,25,Dawn (Go Away),1964
The Newbeats,26,Bread and Butter,1964
Gene Pitney,27,It Hurts to Be in Love,1964
Jan and Dean,28,Dead Man's Curve,1964
Jay and the Americans,29,Come a Little Bit Closer,1964
Peter and Gordon,30,A World Without Love,1964
The Honeycombs,31,Have I the Right?,1964
The Serendipity Singers,32,Don't Let the Rain Come Down (Crooked Little Man),1964
The Supremes,33,Baby Love,1964
Betty Everett,34,Let It Be Me,1964
Dusty Springfield,35,Wishin' and Hopin',1964
Lesley Gore,36,You Don't Own Me,1964
Dionne Warwick,37,Walk On By,1964
The Animals,38,The House of the Rising Sun,1964
Ronny &amp; the Daytonas,39,G.T.O.,1964
The Beatles,40,Twist and Shout,1964
Johnny Rivers,41,Memphis,1964
Danny Williams,42,"""White On White""",1964
The Rip Chords,43,Hey Little Cobra,1964
Betty Everett,44,The Shoop Shoop Song (It's in His Kiss),1964
The Dave Clark Five,45,Bits and Pieces,1964
Millie Small,46,My Boy Lollipop,1964
Major Lance,47,"Um, Um, Um, Um, Um, Um",1964
Jan and Dean,48,The Little Old Lady from Pasadena,1964
Gerry and the Pacemakers,49,Don't Let the Sun Catch You Crying,1964
Chad &amp; Jeremy,50,A Summer Song,1964
Stan Getz,51,The Girl from Ipanema,1964
The Beatles,52,Can't Buy Me Love,1964
The Shangri-Las,53,Remember (Walking in the Sand),1964
Bobby Freeman,54,"""C'mon and Swim""",1964
The Beatles,55,Do You Want to Know a Secret,1964
The Impressions,56,Keep On Pushing,1964
The Four Tops,57,Baby I Need Your Loving,1964
Diane Renay,58,Navy Blue,1964
The Bachelors,59,Diane,1964
The Marketts,60,Out of Limits,1964
The Hondells,61,Little Honda,1964
Roger Miller,62,Chug-a-Lug,1964
Bobby Goldsboro,63,See the Funny Little Clown,1964
The Dave Clark Five,64,Because,1964
The Reflections,65,(Just Like) Romeo and Juliet,1964
Rick Nelson,66,For You,1964
The New Christy Minstrels,67,"""Today""",1964
The Dave Clark Five,68,Can't You See That She's Mine,1964
The Shangri-Las,69,Leader of the Pack,1964
Joe Hinton,70,Funny How Time Slips Away,1964
The Temptations,71,The Way You Do the Things You Do,1964
Dionne Warwick,72,Anyone Who Had a Heart,1964
