rank,song,artist,year,nationality,country
47,Yellow Bird,Arthur Lyman,1961, Hawaii,US
48,Hurt,Timi Yuro,1961, U.S.,US
49,Hello Mary Lou,Ricky Nelson,1961, U.S.,US
50,There's a Moon Out Tonight,The Capris,1961, United States,US
51,Surrender,Elvis Presley,1961, U.S.,US
52,I Love How You Love Me,The Paris Sisters,1961, United States,US
53,Ya Ya,Lee Dorsey,1961, United States,US
54,"""School Is Out""",Gary U.S. Bonds,1961, FloridaUnited States,US
55,Mexico,Bob Moore,1961, United States,US
56,You Don't Know What You've Got (Until You Lose It),Ral Donner,1961, U.S.,US
57,Walk Right Back,The Everly Brothers,1961, Iowa,US
58,The Way You Look Tonight,The Lettermen,1961, U.S.,US
59,Moody River,Pat Boone,1961, Tennessee,US
60,One Mint Julep,Ray Charles,1961, U.S.[1],US
61,Take Good Care of Her,Adam Wade,1961, U.S.,US
62,"""Gee Whiz (Look at His Eyes)""",Carla Thomas,1961, U.S.,US
63,Stand by Me,Ben E. King,1961, New York,US
64,Spanish Harlem,Ben E. King,1961, New York,US
65,It's Gonna Work Out Fine,Ike and Tina Turner,1961, United States,US
66,Baby Blue,The Echoes,1961, New York,US
67,Baby Sittin' Boogie,Buzz Clifford,1961, U.S.,US
68,Hats Off to Larry,Del Shannon,1961, United States,US
69,"""Those Oldies But Goodies""",Little Caesar &amp; the Romans,1961, U.S.,US
70,"""The Fly""",Chubby Checker,1961, U.S.,US
71,(Marie's the Name) His Latest Flame,Elvis Presley,1961, U.S.,US
72,Wonderland by Night,Bert Kaempfert,1961, Germany,Germany
73,Bless You,Tony Orlando,1961, New York,US
74,I've Told Every Little Star,Linda Scott,1961, U.S.,US
75,"""One Track Mind""",Bobby Lewis,1961, U.S.,US
76,Angel Baby,Rosie and the Originals,1961, U.S.,US
77,Pretty Little Angel Eyes,Curtis Lee,1961, U.S.,US
78,Think Twice,Brook Benton,1961, U.S.,US
79,Does Your Chewing Gum Lose Its Flavour (On the Bedpost Overnight?),Lonnie Donegan,1961, UK,UK
80,Breakin' in a Brand New Broken Heart,Connie Francis,1961, U.S.,US
81,Mama Said,The Shirelles,1961, US,US
82,"""Let the Four Winds Blow""",Fats Domino,1961, U.S.,US
83,The Writing on the Wall,Adam Wade,1961, U.S.,US
